Nombre,Localidad,Tipo de Atractivo,Ubicación,coord_x,coord_y
Academia Colombiana de Historia,Candelaria,3,CL 10 # 8 - 95,"-74,07759884307949","4,598203141164282"
Altar Mayor de la Iglesia de San Francisco,Santa Fe,3,CL 16 # 7 - 35,"-74,07317421540208","4,602234023087201"
Auditorio León de Greiff,Teusaquillo,3,KR 30 # 45 - 03 ED 104,"-74,08567411357879","4,638411290972897"
Balcón Palacio de San Carlos,Candelaria,3,CL 10 # 5 - 51,"-74,07481577070112","4,596368219008856"
Basílica del Voto Nacional,Los Mártires,3,KR 15 # 10 - 43,"-74,08244190152467","4,601627342503626"
Biblioteca El Tintal Manuel Zapata Olivella,Kennedy,3,AV Ciudad de Cali # 6C - 09,"-74,15468399985527","4,643050000145918"
Biblioteca Luis Ángel Arango - Biblioteca - Manzana Norte,Candelaria,3,CL 11 # 4 - 14,"-74,07282525494848","4,596999135181342"
Biblioteca Luis Ángel Arango - Manzana Norte y Sur,Candelaria,3,CL 11 # 4 - 14,"-74,07282525494848","4,596999135181342"
Biblioteca Nacional de Colombia,Santa Fe,3,CL 24 # 5 - 60,"-74,06868590076427","4,609708668518852"
Auditorio  - Biblioteca Fabio Lozano - Universidad Jorge Tadeo Lozano,Santa Fe,3,KR 4 # 22 - 61 MOD 21 ED Auditorio Biblioteca,"-74,06823305374134","4,606990298631593"
Calle 10 entre Carrera 3 y 9,Candelaria,3,CL 10 entre KR 3 y KR 9,"-74,07324499995151","4,595708999618781"
Calle del Embudo,Candelaria,3,Entre Plaza del Chorro de Quevedo y CL 14,"-74,06963869168385","4,597827000321939"
Capilla del Sagrario,Candelaria,3,KR 7 # 10 - 40,"-74,07534064464353","4,597576012809141"
Capilla La Bordadita,Candelaria,3,KR 14 # 6 - 25,"-74,08473230276692","4,597023578505513"
Capilla San Miguel del Príncipe,Candelaria,3,CL 13 con KR 2,"-74,06984600039354","4,597160000140352"
Capitolio Nacional,Candelaria,3,CL 10 # 7 - 50,"-74,07587849475024","4,59739594466031"
Carrera Séptima entre Calles 7 y 14,Candelaria,3,KR 7 entre CL 7 y 14,"-74,07455471758462","4,599576999566887"
Casa Calle 12 # 2 - 12,Candelaria,3,CL 12 # 2 - 12,"-74,07037665679144","4,5964733080185445"
Casa Calle 12 # 2 - 22,Candelaria,3,CL 12 # 2 - 22,"-74,0704399844257","4,596563212378467"
Casa Cantillo O`Leary,Candelaria,3,KR 9 # 8 - 53/55/59,"-74,07850983808383","4,597239717161517"
Casa Carrera 4 # 10 - 84,Candelaria,3,KR 4 # 10 - 84,"-74,07270797000668","4,596308357074167"
Casa Carrera 4 # 11 - 94,Candelaria,3,KR 4 # 11 - 94,"-74,07214297011716","4,597347400984464"
Casa Carrera 5 # 9 - 48,Candelaria,3,KR 5 # 9 - 48,"-74,07424362022195","4,595740277781922"
Casa Carrera 9 # 9 - 29/35,Candelaria,3,KR 9 # 9 - 29/35,"-74,07819518518929","4,598053278517379"
Casa Cural de la Catedral,Candelaria,3,KR 6 # 10 - 61,"-74,07490048362907","4,5973546960122045"
Casa de Don José Caicedo Rojas,Candelaria,3,CL 13 # 5 - 33,"-74,07146071852348","4,600638367820881"
Casa de la Fundación Gilberto Álzate Avendaño,Candelaria,3,CL 10 # 3 - 16,"-74,07239904297373","4,5954735103128765"
Casa de La Independencia,Candelaria,3,CL 10 # 3 - 45,"-74,07300946258233","4,595383628201204"
Casa de La Opera,Candelaria,3,CL 11 # 5- 16,"-74,07364272095872","4,597455005098318"
Casa de Los Comuneros,Candelaria,3,KR 8 # 9 - 83,"-74,07722830509277","4,59703818558059"
Casa de Poesía Silva,Candelaria,3,CL 14 # 3 - 41,"-74,07058141698066","4,598601252813773"
Casa del Cabildo Eclesiástico,Candelaria,3,KR 7 # 10 - 56,"-74,07541678674532","4,597774597395903"
Casa del General Pedro Alcántara Herrán,Candelaria,3,CL 11 # 5 - 51,"-74,0741515779396","4,5971767669783485"
Casa del Maestro Jorge Luis Linares,Candelaria,3,KR 1 # 12 - 35,"-74,06964627256653","4,596286410174193"
Casa Fundación  Rafael Pombo,Candelaria,3,CL 10 # 5 - 22,"-74,07417010569235","4,596506140607864"
Casa Gregorio Vásquez de Arce y Ceballos,Candelaria,3,KR 4 # 10 - 98,"-74,07325541322227","4,59571581202808"
Casa Antonio Nariño,Puente Aranda,3,CL 10 Sur # 38A - 25,"-74,11490360768457","4,602716740561752"
Casa Natal de Rufino José Cuervo - Instituto Caro y Cuervo,Candelaria,3,CL 10 # 4 -69,"-74,07398495572576","4,595743931124285"
Casa Natal José María Vergara y Vergara,Candelaria,3,CL 12 # 3 - 96,"-74,07202366306763","4,597554712444892"
Casa Republicana - Manzana Norte - Biblioteca Luis Ángel Arango,Candelaria,3,CL 11 # 4 - 14,"-74,07282525494848","4,596999135181342"
Casa Sanz de Santamaría,Candelaria,3,KR 5 # 9 - 10,"-74,0744193827938","4,59549335298359"
Casa Sede de la Sociedad Bolivariana de Colombia,Candelaria,3,AC 20 # 5 - 17 Este,"-74,0637478814104","4,6019491284968534"
Casa Sede de la Sociedad Económica de Amigos del País,Candelaria,3,CL 11 # 6 - 42,"-74,0746592284831","4,598173843787118"
Casa Sede Instituto Colombiano de Antropología e Historia,Candelaria,3,CL 12 # 2 - 41,"-74,07082419027947","4,596308604211815"
Casa Sede Instituto Distrital de Patrimonio Cultural,Candelaria,3,CL 12B # 2 - 58,"-74,07025050278283","4,597670817688915"
Casa Sede para el Desarrollo de La Democracia Luis Carlos Galán,Candelaria,3,CL 10 # 4 - 21,"-74,07353140262703","4,595629977277872"
Catedral Primada,Candelaria,3,AK 7 # 10 - 80,"-74,07506199981881","4,59781399965449"
Cementerio Alemán,Los Mártires,3,CL 26 # 19B - 75,"-74,07672100040071","4,618153000381436"
Cementerio Británico,Los Mártires,3,CL 26 # 17 - 91,"-74,07285545271507","4,615266513415658"
Cementerio Central,Los Mártires,3,KR 20 # 24 - 80,"-74,07672100040071","4,618153000381436"
Centro Cultural Gabriel García Márquez,Candelaria,3,CL 11 # 5 - 60,"-74,07398941316622","4,597659262233979"
Centro de Documentación - Instituto Distrital de Patrimonio Cultural,Candelaria,3,CL 12B # 2 - 96,"-74,07056529042468","4,597789166847807"
Centro Internacional,Santa Fe,3,Entre CL 26 hasta la CL 34 y entre KR 7 hasta la AV Caracas,"-74,07014799961901","4,614581000114149"
Claustro de las Aguas,Candelaria,3,KR 2 # 18A - 58,"-74,06677591628191","4,6019394212566835"
Claustro de San Agustín,Candelaria,3,KR 8 # 7 - 21,"-74,07903328460326","4,595397669399762"
Claustro Principal de la Universidad Colegio Mayor de Nuestra Señora del Rosario,Candelaria,3,CL 12C # 6 -25,"-74,07324745864045","4,600288365613983"
Club del Comercio,Chapinero,3,CL 62 # 5 - 88,"-74,05953294028323","4,647276271643301"
Colección de Instrumentos Musicales - José Ignacio Perdomo Escobar Manzana Norte - Biblioteca Luis Ángel Arango,Candelaria,3,CL 11 # 4 - 14,"-74,07282525494848","4,596999135181342"
Colección Pizano,Teusaquillo,3,KR 30 45-03 Ciudad Universitaria ED 102 (Biblioteca Gabriel García Márquez),"-74,08476399982173","4,638001999647044"
Colegio Mayor de San Bartolomé,Candelaria,3,KR 7 # 9 - 96,"-74,07638579584905","4,596508159793697"
Conjunto de Edificios Centro Urbano Centro Nariño,Teusaquillo,3,"KR 40, CL 22 F, KR 38, AV de las Américas, AV de la Esperanza (DG 22B)","-74,08892800018407","4,627636999558871"
Conjunto de Edificios de la Universidad Nacional de Colombia,Teusaquillo,3,Entre AV 30 y KR 50 y entre AC 26 y DG 40,"-74,08330400032979","4,6363570001199195"
Conjunto de Edificios del Centro Administrativo Nacional,Teusaquillo,3,Entre TV 39 y 45 y entre AC 26 y DG 40,"-74,09465499997053","4,644036000331038"
Custodia La Lechuga (Iglesia San Ignacio),Candelaria,3,CL 11 # 4 - 93,"-74,07357408787436","4,596770056654782"
Edificio Academia Colombiana de la Lengua,Santa Fe,3,KR 3 # 17 - 34,"-74,06845151413697","4,601592715729313"
Edificio Academia Superior de Artes de Bogotá,Santa Fe,3,KR 13 # 14 - 69,"-74,07845833317701","4,604682954620943"
Edificio Bavaria Davivienda,Santa Fe,3,KR 10 # 27 - 91,"-74,06971030897157","4,615393646229092"
Edificio Conjunto de Vivienda Torres del Parque,Santa Fe,3,CL 27 con KR 5,"-74,06748999967766","4,612679999871585"
Edificio Copropietarios Las Aguas,Candelaria,3,CL 16 # 3 - 08,"-74,069119728656","4,600550571796358"
Edificio Cubillos,Candelaria,3,KR 8 # 14 - 45,"-74,07457452633494","4,601906212841721"
Edificio de Posgrados de la Universidad de Bogotá Jorge Tadeo Lozano,Santa Fe,3,AV 3 CL 22 ESQ,"-74,06675499990884","4,606676999854937"
Edificio del Concejo de  Bogotá,Teusaquillo,3,CL 34 # 27 - 36,"-74,07785000035481","4,624850000439852"
Edificio del Gun Club,Santa Fe,3,CL 16 # 7 - 76,"-74,07334532559908","4,603140359244352"
Edificio del Hotel Tequendama,Santa Fe,3,KR 10 # 26 - 21,"-74,07070558391587","4,613201212672798"
Edificio del Jockey Club,Santa Fe,3,KR 6 # 15 - 18,"-74,07215816152693","4,601421471168487"
Edificio Ecopetrol,Santa Fe,3,KR 13 # 36 - 24,"-74,06730274944995","4,624094162522869"
Edificio El Tiempo Citytv,Candelaria,3,AC 13 # 6 - 77,"-74,0733500004318","4,601184000395208"
Edificio Jefatura de Reclutamiento y Control de Reservas,Los Mártires,3,CL 9 y 10 entre KR 14 y 15,"-74,0824180000499","4,600877000136656"
Edificio Monserrate,Candelaria,3,AC 13 # 4 - 49,"-74,07072199074622","4,600446957251323"
Edificio Museo de Arquitectura Leopoldo Rother,Teusaquillo,3,KR 30 # 45 - 03 Ciudad Universitaria ED 207,"-74,08272500019656","4,638360000412548"
Edificio Museo de Arte de la Universidad Nacional,Teusaquillo,3,KR 30 # 45 - 03 ED 317,"-74,08567411357879","4,638411290972897"
Edificio Palma Real,Santa Fe,3,KR 13 # 28 - 01,"-74,07013071513464","4,615994810133443"
Edificio Pedro A. López,Candelaria,3,AC 13 # 7 - 65,"-74,07430944247776","4,601546187033999"
Edificio Quiosco de la Luz,Santa Fe,3,AK 7 No 26 - 07 - Parque De La Independencia,"-74,06905600037312","4,611101000244308"
Edificio Samper Brush,Santa Fe,3,AC 13 # 10 - 58,"-74,07734050018018","4,602386886297711"
"Edificio Sede de la Dirección de Patrimonio, Artes, Etnografía y Fomento Regional",Candelaria,3,CL 9 # 8 - 31,"-74,07766078910484","4,596970300689641"
Edificio Sociedad Colombiana de Ingenieros,Candelaria,3,KR 4A # 10 - 41,"-74,07309400033877","4,596267000016526"
Edificio Torre Colpatria,Santa Fe,3,KR 7A # 24 - 89,"-74,07025800012218","4,610955000417922"
Edificio Vengoechea,Candelaria,3,KR 5 # 11 - 68,"-74,07357071380217","4,597154077797579"
Edificio World Service,Santa Fe,3,KR 5 # 11 - 68,"-74,07357071380217","4,597154077797579"
Edificio y Pasaje Hernández,Candelaria,3,KR 8 # 12 - 35,"-74,07558337661982","4,600031406506018"
