Tramo,Dirección,No. de Guardias,No. de Servidores,No. de Policias,Estado,Indicativo,Longitud Km,coord_x,coord_y
CALLE 17 SUR,CL 17 SUR ENTRE KR 7 Y KR 50,10,0,10,Activo,SUR 3,5.09581313,"-74,08907714926734","4,575989901300662"
SEPTIMA SUR,CR 7 ENTRE LA CL 22 SUR Y LA CL 72,18,0,26,Activo,CENTRO 3,10.19379656,"-74,06632909964948","4,6232900003717186"
CARRERA 50,CR 50 ENTRE LA AUTOSUR Y CL 53 POR KR 60,16,0,40,Activo,CENTRO 2,10.74863353,"-74,12653509279802","4,594120897904208"
CL 39 SUR,CL 39 SUR ENTRE KR 50 Y AV. BOYACA,6,0,26,Activo,SUR 3,2.58219096,"-74,12632160008592","4,595568999578822"
BOYACA SUR,Av. BOYACA ENTRE LA CL 66 Y LA CL 44 SUR,19,0,20,Activo,CENTRO 1,10.73068476,"-74,0993610850978","4,681051460763369"
BOSA,CL 39 SUR CON Av. BOYACA HASTA CONEXION SOACHA,14,0,10,Activo,SUR 1,8.75433322,"-74,1420260952066","4,606482467707359"
YOMASA,AV. BOY DESDE LA CL 44 SUR HASTA KR 3,12,0,31,Activo,SUR 2,8.75053761,"-74,14460139983616","4,599274300225739"
PARKWAY Y UN,PARKWAY Y UN,3,12,4,Activo,CENTRO 4,0.8164359999999999,"-74,07547476760703","4,626598221119201"
DORADO,"CALLE 26 ENTRE LA CR 7 Y LA CR 103, PARKWAY",0,0,0,Activo,CENTRO 4,10.22580152,"-74,12449829404531","4,685076059805949"
DORADO,AC 26 ENTRE KR 60 y KR 96i,0,0,0,Activo,CENTRO 4,5.292415999999999,"-74,09986230011059","4,647848100589026"
