Código del Prestador,Nombre de la IPS,Dirección,Clase de Prestador,Clase de Persona,coord_x,coord_y
1100101935,FUNDACION LIGA CENTRAL CONTRA LA EPILEPSIA,Cl 35 Número 17-48,Instituciones - IPS,Juridica,"-74,07247447540645","4,624532945324796"
1100109056,CENTRO DE INVESTIGACIONES ONCOLOGICAS CLINICA SAN DIEGO CIOSAD S.A.S,AC 33 # 14 37,Instituciones - IPS,Juridica,"-74,06983839615465","4,621247510792445"
1100109178,ODONTOAMERICAS,Avenida Américas N° 66 a - 27 segundo piso,Instituciones - IPS,Juridica,"-74,12237243002713","4,626095518688988"
1100109186,CLINISANITAS DIAGNOSTICO ZONA IN,AC 13 N 65 -21,Instituciones - IPS,Juridica,"-74,11605885371635","4,63426464165194"
1100119213,SONRISAS BRILLANTES SAS,"CLL 12b 9-22 C.C.SAVILLE 2 PISO LOC 127,128,129,130,131,132,133,134,135",Instituciones - IPS,Juridica,"-74,0761652118361","4,60145994557031"
1100117744,OPTICAS SBC LIMITADA,AV CIUDAD DE CALI # 42 B 51,Instituciones - IPS,Juridica,"-74,1677853138265","4,627737215724584"
1100109456,PUNTO DE TOMA DE MUESTRAS TEUSAQUILLO,KR 7 # 40 B - 17 Sótano 1,Instituciones - IPS,Juridica,"-74,06563516636385","4,627654403192802"
1100106382,BRAQUITERAPIA MARLY LTDA,CARRRERA 9 No. 49 22 CS 206 BUNKER BQTX,Instituciones - IPS,Juridica,"-74,06442243174713","4,636393437437374"
1100105711,SEDE AMERICAS COLCAN,AV AMERICAS No. 71A - 39 PISO 1 Y 2 COSTADO SUR,Instituciones - IPS,Juridica,"-74,13408408079654","4,629315369769286"
1100121713,keep Salud Ocupacional SAS,carrera 27 A # 40 A -42 Local 101 y piso 2,Instituciones - IPS,Juridica,"-74,07834413304992","4,631270425284493"
1100129797,MEDICAS #1 IPS S.A.S,AV. CIUDAD DE CALI CR. 86 - 37 - 08 Sur,Instituciones - IPS,Juridica,"-74,16233529877813","4,6347718321783455"
1100129911,FISIOGESTION S.A.S.,KRA 28 N°11-67 OFICINA 803,Instituciones - IPS,Juridica,"-74,0922541697287","4,610850925358089"
1100129937,CERCARIPS SAS,CARRERA 18 No. 52 A 05,Instituciones - IPS,Juridica,"-74,07000997527226","4,640613482103414"
1100130028,LOGIC MEDICAL SERVICE ASSIST SAS,CLL 42 BIS A SUR # 74 - 35 1 PISO,Instituciones - IPS,Juridica,"-74,15717190020433","4,61191523610725"
1100130145,SERVICIOS Y ASESORIAS EN INFECTOLOGIA SAI SAS,CLL 50 No. 13-62 OF 704 Y OF 303-304-305-306-307,Instituciones - IPS,Juridica,"-74,06619823667215","4,637510271868365"
1100130296,Unidad de Servicios de Salud Olarte,Carrera 72 A BIS # 57 - 13 SUR,Instituciones - IPS,Juridica,"-74,16527321555864","4,600330248945872"
1100119053,UNIDAD DE CUIDADO INTERMEDIO SANTA LUCIA SAS,CALLE 55 BIS No. 15 A - 05,Instituciones - IPS,Juridica,"-74,06744479106268","4,64281439941825"
1100128942,HEALTH & LIFE IPS SAS SEDE KENNEDY,CALLE 42C SUR # 78H-08,Instituciones - IPS,Juridica,"-74,1613173826954","4,615852496786914"
1100129015,AG ASISTENCIAS IPS SAS,CARRERA 5 No 10 - 35 CONSULTORIO 103,Instituciones - IPS,Juridica,"-74,07407057774877","4,596674346379589"
1100122082,IPS AMERICAS SAS,CL 24 17 35,Instituciones - IPS,Juridica,"-74,07576769923803","4,614122507791356"
1100123293,COLMEDICOS BOGOTA SEDE MONTEVIDEO,Carrera 66 No 12 - 91,Instituciones - IPS,Juridica,"-74,11780934142172","4,635338443148886"
1100103916,FUNDACION OFTALMOLOGICA NACIONAL,CENTRO COMERCIAL PLAZA CENTRAL Carrera 65 # 11-90 Local 2-01,Instituciones - IPS,Juridica,"-74,1152298955587","4,631964965790582"
1100118895,Empresalud Ocupacional E.U.,CALLE 35 NO 15 - 56,Instituciones - IPS,Juridica,"-74,07085904581079","4,624176858174751"
1100101010,CENTRO MEDICO DEPORTIVO DE ACONDICIONAMIENTO FISICO BODYTECH PLAZA CENTRAL,CC PLAZA CENTRAL CRA 65 11-48 L 3-28,Instituciones - IPS,Juridica,"-74,11681489921567","4,631875528826118"
1100130786,ZERBIT S.A.S,CARRERA 10 # 16-39 OFICINA 1408,Instituciones - IPS,Juridica,"-74,07559470617218","4,604844680129111"
1100130514,SERVISALUD QCL IMEF 2,CRA 35 25 B 66,Instituciones - IPS,Juridica,"-74,08539415631545","4,6302695313790485"
1100130514,SERVISALUD QCL IMEF,CL 25 F 34 A 55,Instituciones - IPS,Juridica,"-74,08425282878066","4,63089424555422"
1100130514,SERVISALUD QCL CHAPINERO,CRA 13 51 11/87,Instituciones - IPS,Juridica,"-74,06566587437354","4,638433569648549"
1100117087,ORALMEDIC SEDE RESTREPO 1,CR 19 No. 19 - 02 SUR,Instituciones - IPS,Juridica,"-74,08070598718817","4,611889419740813"
1100130514,SERVISALUD QCL KENNEDY 2,CL 6 SUR 72 D 35,Instituciones - IPS,Juridica,"-74,14231807821666","4,621092490157071"
1100127905,DENTIX CC PLAZA CENTRAL,CARRERA 62 No. 11 - 31 local 3-07,Instituciones - IPS,Juridica,"-74,11522237037157","4,63084778056161"
1100107357,OPTICENTRO INTERNACIONAL PLAZA CENTRAL,CR 65 No 11- 50 LC 2 - 61,Instituciones - IPS,Juridica,"-74,1152298955587","4,631964965790582"
1100107508,LABORATORIO BIOIMAGEN LTDA MONTEVIDEO,CL 17 N° 68 40,Instituciones - IPS,Juridica,"-74,1163512948672","4,640523122211354"
1100117744,OPTICAS SBC LIMITADA CONSULTORIO,CALLE 40 SUR No 73D-46,Instituciones - IPS,Juridica,"-74,152750005202","4,617836715000318"
1100109456,HOSPITAL UNIVERSITARIO SAN IGNACIO LABORATORIO CLINICO DE ERRORES INNATOS DEL METABOLISMO,KR 7 # 43 - 82 EDF 53 JESÚS EMILIO RAMIREZ LAB 303 A,Instituciones - IPS,Juridica,"-74,06344857713077","4,630614338114498"
