Identificador del parque,Estrato,Localidad,Estado Certificación,Clasificación del Parque,Nombre del Parque,Código Localidad,coord_x,coord_y
16-010,3,Puente Aranda,CERTIFICADO,Vecinal,VERAGUAS CENTRAL (BARRIO COMUNEROS Y BOCHICA),16,"-74,10150586943251","4,607600530115555"
16-078,3,Puente Aranda,CERTIFICADO,Vecinal,VERAGUAS CENTRAL (BARRIO COMUNEROS Y BOCHICA),16,"-74,10204021431295","4,606550177318983"
03-153,5,Santa Fe,CERTIFICADO,Vecinal,PARQUE CENTRAL BAVARIA,3,"-74,06940723311521","4,618521786824116"
03-154,5,Santa Fe,CERTIFICADO,Bolsillo,PARQUE CENTRAL BAVARIA,3,"-74,06984102956592","4,618845263295908"
13-174,4,Teusaquillo,CERTIFICADO,Bolsillo,URBANIZACIÓN CIUDAD SALITRE SÚPER MANZANA III-19 MANZANA,13,"-74,09913297140614","4,641006729525757"
08-702,3,Kennedy,CERTIFICADO,Bolsillo,EL CARMEN,8,"-74,13873451663946","4,625172493987835"
08-526,3,Kennedy,CERTIFICADO,Vecinal,URBANIZACIÓN NUEVAS DELICIAS,8,"-74,14691363597888","4,596390931877242"
08-214,3,Kennedy,CERTIFICADO,Vecinal,LAS AMÉRICAS SECTOR AVENIDA GALÁN,8,"-74,13831824362501","4,619343352450362"
08-707,3,Kennedy,INVESTIGADO NO CERTIFICADO,Vecinal,VILLA ALSACIA LOTE 1,8,"-74,1252898499478","4,646194283147356"
08-708,3,Kennedy,INVESTIGADO NO CERTIFICADO,Vecinal,VILLA ALSACIA LOTE 1,8,"-74,12608246451487","4,644968969683449"
16-206,3,Puente Aranda,CERTIFICADO,Vecinal,VERAGUAS CENTRAL (BARRIO COMUNEROS Y BOCHICA),16,"-74,10250826352544","4,605631911009515"
16-190,3,Puente Aranda,CERTIFICADO,Bolsillo,URBANIZACIÓN MUZÚ I ETAPA (OSPINA PÉREZ),16,"-74,13219505580639","4,5960923300432555"
02-168,1,Chapinero,CERTIFICADO,Vecinal,DESARROLLOS SAN MARTIN DE PORRES Y MARISCAL SUCRE,2,"-74,05973885390928","4,629667388810031"
16-104,3,Puente Aranda,INVESTIGADO NO CERTIFICADO,Bolsillo,CARABELAS - GAITÁN CORTEZ,16,"-74,1125843417756","4,609821097441143"
16-079,3,Puente Aranda,CERTIFICADO,Vecinal,LA ARBOLEDA,16,"-74,11874535091346","4,619964236674595"
16-070,3,Puente Aranda,CERTIFICADO,Vecinal,LA CAMELIA NORTE,16,"-74,11642957451022","4,614658647743871"
16-055,3,Puente Aranda,CERTIFICADO,Vecinal,LA CAMELIA II SECTOR,16,"-74,12260813403378","4,61563123726191"
16-054,3,Puente Aranda,CERTIFICADO,Vecinal,URBANIZACIÓN LA CAMELIA,16,"-74,12191601489589","4,615273894625638"
