OBJECTID,Valor en pesos ($),Localidad,Sector Catastral,Identificador único de la manzana,coord_x,coord_y
54644,1700000,KENNEDY,MARSELLA,006502056,"-74,13004336699998","4,63533957365221"
54699,1300000,KENNEDY,HIPOTECHO SUR,004551030,"-74,12954110450002","4,62232186115177"
54704,1400000,KENNEDY,HIPOTECHO SUR,004551031,"-74,12984962050001","4,622731943651782"
54762,1500000,KENNEDY,HIPOTECHO,004501002,"-74,128451402","4,625171751151889"
54763,1900000,KENNEDY,HIPOTECHO OCCIDENTAL,004502043,"-74,131800475","4,622610586651797"
54847,1700000,KENNEDY,HIPOTECHO SUR,004551045,"-74,12921836049998","4,618194303151642"
54857,510000,KENNEDY,PROVIVIENDA ORIENTAL,004503059,"-74,127806725","4,615007258151537"
54860,510000,KENNEDY,PROVIVIENDA ORIENTAL,004503052,"-74,12936310650002","4,617919834651623"
54862,510000,KENNEDY,PROVIVIENDA ORIENTAL,004503088,"-74,12801492649999","4,614765663651545"
54871,510000,KENNEDY,PROVIVIENDA ORIENTAL,004503061,"-74,12883385500001","4,616510588651598"
54872,1700000,KENNEDY,PROVIVIENDA ORIENTAL,004503091,"-74,13054210800001","4,612822187151453"
55015,1300000,KENNEDY,HIPOTECHO SUR,004551031,"-74,1298776255","4,6223828201518"
55016,1300000,KENNEDY,HIPOTECHO SUR,004551033,"-74,130587389","4,622622297651779"
55067,1400000,KENNEDY,HIPOTECHO SUR,004551017,"-74,12876824599999","4,62272231165181"
55087,1700000,KENNEDY,PROVIVIENDA ORIENTAL,004503079,"-74,1299687945","4,610878339651417"
55089,1300000,KENNEDY,HIPOTECHO SUR,004551021,"-74,13013873899999","4,6233231101518175"
55090,1300000,KENNEDY,HIPOTECHO SUR,004551011,"-74,12901988599998","4,623706361651841"
55163,1700000,KENNEDY,MARSELLA,006502034,"-74,13190250400001","4,6307204566520594"
55219,1800000,KENNEDY,PROVIVIENDA,004504091,"-74,13155717650002","4,609812430651378"
55224,1300000,KENNEDY,HIPOTECHO SUR,004551046,"-74,1288254605","4,618561996651666"
55428,1400000,KENNEDY,HIPOTECHO SUR,004551077,"-74,128215834","4,6209748176517245"
55431,1700000,KENNEDY,PROVIVIENDA ORIENTAL,004503009,"-74,1301456535","4,614353719151531"
55471,1700000,KENNEDY,HIPOTECHO SUR,004551047,"-74,12849741100001","4,618219407151647"
55483,1500000,KENNEDY,HIPOTECHO,004501069,"-74,12843713199999","4,627766962151967"
55511,1500000,KENNEDY,HIPOTECHO,004501004,"-74,12889315550001","4,625867865651895"
55529,990000,KENNEDY,MARSELLA,006502079,"-74,13034371950002","4,632516101152108"
55561,1500000,KENNEDY,HIPOTECHO,004501014,"-74,13088303449999","4,62682276365193"
55740,510000,KENNEDY,PROVIVIENDA ORIENTAL,,"-74,12741447800002","4,616192439151584"
55799,76000,KENNEDY,HIPOTECHO,,"-74,12807129549998","4,62677805315194"
55801,480000,KENNEDY,HIPOTECHO OCCIDENTAL,,"-74,13016516799999","4,620857635651751"
55861,390000,KENNEDY,HIPOTECHO SUR,,"-74,12951137549999","4,6220040441517645"
55901,1300000,KENNEDY,HIPOTECHO SUR,004551038,"-74,12899608699999","4,621597554651759"
55938,510000,KENNEDY,PROVIVIENDA ORIENTAL,,"-74,12888228449998","4,613599534151506"
55997,450000,KENNEDY,HIPOTECHO,,"-74,12800795749999","4,627715730651956"
56006,555000,KENNEDY,NUEVO TECHO,,"-74,13183990099998","4,646221328152558"
56010,390000,KENNEDY,HIPOTECHO SUR,,"-74,1274018725","4,623314603651792"
56022,780000,PUENTE ARANDA,TEJAR,,"-74,1287626505","4,608620330151341"
56042,1700000,KENNEDY,MARSELLA,006502061,"-74,12876861550001","4,632314251652097"
56099,1700000,KENNEDY,HIPOTECHO OCCIDENTAL,004502015,"-74,1309997925","4,624892932651882"
56105,600000,KENNEDY,VILLA ALSACIA,,"-74,1296617175","4,6442220811525035"
56153,1700000,KENNEDY,HIPOTECHO OCCIDENTAL,,"-74,13039885399999","4,622167614151756"
56214,510000,KENNEDY,PROVIVIENDA ORIENTAL,,"-74,12858058950002","4,612827810651498"
56242,390000,KENNEDY,HIPOTECHO SUR,,"-74,12946688049999","4,624514979651846"
56267,1700000,KENNEDY,PROVIVIENDA ORIENTAL,004503025,"-74,13178828099998","4,612979550651479"
56268,1700000,KENNEDY,PROVIVIENDA ORIENTAL,004503091,"-74,1309620625","4,612509993651459"
56274,1400000,KENNEDY,HIPOTECHO SUR,004551035,"-74,12784470049999","4,621143780151726"
56281,1900000,KENNEDY,HIPOTECHO OCCIDENTAL,004502040,"-74,13096810050001","4,622272743651805"
56287,510000,KENNEDY,PROVIVIENDA ORIENTAL,,"-74,1290571635","4,616000074151574"
56341,600000,KENNEDY,COOPERATIVA DE SUB-OFICIALES,,"-74,129764002","4,643212076152459"
56390,720000,PUENTE ARANDA,CORREDOR FERREO DEL SUR,,"-74,12874432699999","4,60936983215136"
56424,510000,KENNEDY,PROVIVIENDA ORIENTAL,,"-74,12952741500001","4,612067352151471"
56425,1800000,KENNEDY,PROVIVIENDA,,"-74,1315843365","4,60940067715136"
56554,510000,KENNEDY,PROVIVIENDA ORIENTAL,,"-74,131192968","4,6141578401515355"
56624,1500000,KENNEDY,HIPOTECHO,,"-74,130158228","4,626927534651932"
56814,1500000,KENNEDY,HIPOTECHO,004501012,"-74,130737391","4,6282610571519776"
56855,750000,KENNEDY,HIPOTECHO SUR,004551078,"-74,12756612300001","4,620675061151715"
56907,1300000,KENNEDY,HIPOTECHO SUR,004551075,"-74,1289503745","4,620878725151718"
56971,1900000,KENNEDY,PROVIVIENDA ORIENTAL,004503052,"-74,12934551949999","4,617807137651658"
57118,1500000,KENNEDY,HIPOTECHO SUR,004551056,"-74,12836303099999","4,619605169151704"
57166,1400000,KENNEDY,HIPOTECHO SUR,004551025,"-74,12771898599999","4,622274306651784"
57284,1300000,KENNEDY,HIPOTECHO SUR,004551057,"-74,128104925","4,619259866151706"
57387,2550000,KENNEDY,PROVIVIENDA ORIENTAL,004503079,"-74,13124479500001","4,610969339151421"
57390,510000,KENNEDY,PROVIVIENDA ORIENTAL,004503081,"-74,1292412315","4,61208639115147"
57460,1500000,KENNEDY,HIPOTECHO,004501065,"-74,1297958685","4,629011355651985"
57467,1900000,KENNEDY,HIPOTECHO OCCIDENTAL,004502049,"-74,131464956","4,62315365415183"
57489,1900000,KENNEDY,MARSELLA,006502076,"-74,127794402","4,635551703652211"
57679,1900000,KENNEDY,MARSELLA,006502015,"-74,129430069","4,630847734152047"
57774,1400000,KENNEDY,HIPOTECHO SUR,004551021,"-74,13018272","4,623028105651804"
57824,1400000,KENNEDY,HIPOTECHO SUR,004551026,"-74,12808034950001","4,622354026151764"
57825,1400000,KENNEDY,HIPOTECHO SUR,004551033,"-74,1305548665","4,622890507651791"
57948,1300000,KENNEDY,HIPOTECHO OCCIDENTAL,004502012,"-74,13016846850002","4,6245876401518435"
57958,1800000,KENNEDY,PROVIVIENDA,004504088,"-74,13158123150001","4,610385950651383"
57980,1500000,KENNEDY,HIPOTECHO,004501016,"-74,13142457299998","4,625450763651883"
